202

190, 0, 2
94, 0, 0
431, 4, 0
121, 3, 2
122, 12, 1
32, 4, 1
10, 6, 1
45, 0, 2
41, 4, 2
150, 14, 2
122, 8, 2
47, 16, 1
127, 8, 1
370, 2, 2
18, 3, 1
45, 3, 2
101, 4, 2
223, 4, 2
148, 3, 1
197, 4, 2
72, 2, 1
6, 2, 2
164, 16, 2
153, 16, 2
37, 3, 1
39, 3, 1
224, 13, 1
75, 6, 2
146, 8, 0
100, 5, 1
4, 2, 1
11, 2, 1
19, 5, 0
15, 5, 1
445, 10, 2
6, 11, 0
303, 2, 1
196, 13, 1
217, 15, 2
215, 5, 2
152, 5, 1
22, 5, 1
142, 16, 2
112, 2, 0
111, 8, 2
3, 4, 2
81, 10, 1
159, 0, 1
175, 7, 0
133, 5, 0
54, 7, 2
65, 4, 1
192, 15, 1
146, 3, 1
175, 5, 2
182, 13, 2
174, 5, 0
192, 7, 0
55, 2, 1
28, 1, 2
36, 10, 0
68, 4, 1
172, 12, 0
6, 7, 1
150, 4, 2
108, 11, 0
72, 16, 1
443, 4, 1
58, 3, 2
98, 19, 1
96, 10, 1
31, 3, 0
32, 1, 0
55, 1, 2
168, 2, 1
129, 0, 2
139, 12, 0
178, 3, 0
213, 8, 1
7, 3, 0
423, 19, 0
25, 1, 0
75, 1, 2
4, 11, 2
18, 11, 0
18, 15, 1
277, 9, 2
90, 0, 1
217, 4, 0
83, 9, 1
89, 16, 2
409, 4, 0


450, 18, 1
227, 8, 2
452, 0, 1
20, 10, 1
120, 9, 0
2, 6, 1
107, 4, 1
117, 5, 0
81, 6, 1
113, 2, 1
17, 2, 1
451, 11, 0
31, 16, 0
412, 2, 0
156, 3, 2
61, 3, 1
209, 9, 2
164, 6, 0
97, 6, 1
55, 8, 2
214, 10, 2
112, 7, 1
18, 3, 1
16, 12, 1
101, 4, 2
66, 3, 1
214, 6, 1
43, 17, 1
187, 2, 1
83, 2, 0
70, 13, 2
38, 5, 0
12, 1, 2
116, 3, 2
24, 2, 1
122, 6, 0
217, 2, 0
193, 6, 2
172, 8, 1
39, 1, 2
29, 6, 1
61, 8, 2
88, 0, 1
204, 2, 1
26, 3, 2
59, 9, 2
93, 2, 0
138, 8, 0
58, 4, 0
54, 7, 2
74, 17, 1
218, 7, 0
108, 5, 2
91, 6, 2
181, 5, 2
146, 5, 1
53, 6, 1
165, 4, 1
43, 8, 1
11, 5, 1
157, 4, 2
75, 9, 0
194, 3, 0
222, 13, 1
121, 2, 0
31, 2, 0
22, 9, 0
56, 2, 1
174, 3, 1
277, 6, 2
205, 6, 2
137, 6, 2
26, 18, 1
198, 13, 1
187, 9, 1
1, 10, 2
130, 7, 0
56, 13, 0
174, 6, 1
196, 3, 1
25, 0, 2
171, 9, 0
11, 2, 1
35, 2, 0
32, 10, 1
50, 2, 0
41, 1, 0
15, 7, 2
39, 3, 0
197, 17, 0
153, 2, 2
63, 16, 1
7, 6, 2
16, 2, 0
82, 8, 0
144, 12, 0
50, 14, 1
101, 12, 2
15, 12, 1
94, 3, 1


162, 10, 1
186, 4, 0
89, 8, 2
173, 4, 1
81, 11, 0
8, 11, 0
39, 7, 1
81, 9, 1
150, 2, 2
69, 10, 0
108, 3, 0
141, 3, 0
124, 11, 2
106, 12, 0
94, 6, 1
45, 0, 2
135, 8, 0
113, 2, 0
371, 6, 2
45, 10, 0
24, 4, 2
179, 3, 0
192, 3, 2
92, 8, 1
18, 9, 0
138, 5, 2
29, 4, 0
181, 16, 0
69, 16, 2
97, 5, 2
3, 1, 0
139, 4, 0
106, 0, 2
163, 1, 1
142, 0, 0
134, 2, 0
216, 4, 2
21, 1, 1
203, 10, 1
131, 3, 2
114, 3, 2
282, 1, 0
105, 5, 2
31, 7, 0
400, 6, 2
162, 3, 2
98, 3, 2
452, 6, 1
161, 15, 1
194, 6, 1
220, 10, 2
90, 1, 2
219, 2, 0
434, 13, 1
126, 12, 0
35, 9, 1
129, 8, 1
115, 18, 1
123, 0, 1
27, 2, 0
304, 4, 1
135, 5, 1
